PF	OL	DK	ST	NV
75,76	85,54	36,54	54,62	24,28
66,87	43,68	30,26	54,93	27,17
51,07	0	30,44	0	32,95
37,01	61,46	43,37	35,14	37,46
45,66	59,66	39,08	4,432	30,7
66,33	55,76	46,72	33,76	52,39
78,48	46,92	45,2	42,9	0
67	42,63	21,1	67,86	30,58
68,88	50,8	17,74	56,59	20,01
26,99	34,87	46,23	44,31	52,47
22,32	31,4	44,27	73,25	39,31
48,76	27,41	24,95	55,6	46,66
44,22	34,41	20,16	38,97	4,885
56,59	49,23	18,9	27,7	40,22
 	23,21	36,57	42,68	32,53
 	31,33	30,07	48,02	 
 	27,65	46,41	13,61	 
 	33,25	44,27	 	 
 	43,61	28,25	 	 
 	12,94	41,94	 	 
 	36,97	 	 	 

